date,time,close
25-10-2016,12:30:00,8687.5
25-10-2016,13:30:00,8682.65039
25-10-2016,14:30:00,8692.2002
25-10-2016,15:30:00,8692.90039
26-10-2016,09:30:00,8635.5498
26-10-2016,10:30:00,8630.25
26-10-2016,11:30:00,8631.65039
26-10-2016,12:30:00,8629.75
26-10-2016,13:30:00,8638.4502
26-10-2016,14:30:00,8625
26-10-2016,15:30:00,8608.2998
27-10-2016,09:30:00,8576.84961
27-10-2016,10:30:00,8571.2998
27-10-2016,11:30:00,8564.15039
27-10-2016,12:30:00,8580.40039
27-10-2016,13:30:00,8590.90039
27-10-2016,14:30:00,8583.65039
27-10-2016,15:30:00,8612.40039
28-10-2016,09:30:00,8592.2998
28-10-2016,10:30:00,8638.2998
28-10-2016,11:30:00,8635.15039
28-10-2016,12:30:00,8643.25
28-10-2016,13:30:00,8633.40039
28-10-2016,14:30:00,8648.25
28-10-2016,15:30:00,8639.9502
30-10-2016,10:30:00,8617.59961
01-11-2016,09:30:00,8628.0498
01-11-2016,10:30:00,8632.25
01-11-2016,11:30:00,8639.84961
01-11-2016,12:30:00,8655.2002
01-11-2016,13:30:00,8666.2998
01-11-2016,14:30:00,8641.25
01-11-2016,15:30:00,8624.5
02-11-2016,09:30:00,8545.25
02-11-2016,10:30:00,8546.4502
02-11-2016,11:30:00,8531.59961
02-11-2016,12:30:00,8526.5498
02-11-2016,13:30:00,8532.5
02-11-2016,14:30:00,8539.5498
02-11-2016,15:30:00,8519.15039
03-11-2016,09:30:00,8523.59961
03-11-2016,10:30:00,8528.15039
03-11-2016,11:30:00,8530.75
03-11-2016,12:30:00,8532
03-11-2016,13:30:00,8494.9502
03-11-2016,14:30:00,8516.15039
03-11-2016,15:30:00,8483.5498
04-11-2016,09:30:00,8478.90039
04-11-2016,10:30:00,8459.15039
04-11-2016,11:30:00,8441.7002
04-11-2016,12:30:00,8465.0498
04-11-2016,13:30:00,8449
04-11-2016,14:30:00,8416.34961
04-11-2016,15:30:00,8435.65039
07-11-2016,09:30:00,8507.7002
07-11-2016,10:30:00,8522.4502
07-11-2016,11:30:00,8516.2002
07-11-2016,12:30:00,8518.34961
07-11-2016,13:30:00,8530.0498
07-11-2016,14:30:00,8523.7002
07-11-2016,15:30:00,8488.40039
08-11-2016,09:30:00,8523.75
08-11-2016,10:30:00,8508.4502
08-11-2016,11:30:00,8506.34961
08-11-2016,12:30:00,8490.25
08-11-2016,13:30:00,8486.4502
08-11-2016,14:30:00,8513.2002
08-11-2016,15:30:00,8542.15039
09-11-2016,09:30:00,8198.65039
09-11-2016,10:30:00,8206.25
09-11-2016,11:30:00,8240.5
09-11-2016,12:30:00,8250.34961
09-11-2016,13:30:00,8364.40039
09-11-2016,14:30:00,8442.7002
09-11-2016,15:30:00,8459.25
10-11-2016,09:30:00,8554.4502
10-11-2016,10:30:00,8558.90039
10-11-2016,11:30:00,8585.7002
10-11-2016,12:30:00,8593.4502
10-11-2016,13:30:00,8580.34961
