date,daily_mtm_per_lot,slippage,Portdolio
04-02-2016,-3067.5,-300,"? 12,90,235.00"
05-02-2016,4526.25,-300,"? 12,94,461.25"
08-02-2016,6768.75,-300,"? 13,00,930.00"
09-02-2016,-2287.5,-300,"? 12,98,342.50"
10-02-2016,292.5,-300,"? 12,98,335.00"
11-02-2016,13406.25,-300,"? 13,11,441.25"
12-02-2016,-8100,-300,"? 13,03,041.25"
15-02-2016,1950,-300,"? 13,04,691.25"
16-02-2016,6532.5,-300,"? 13,10,923.75"
17-02-2016,5917.5,-300,"? 13,16,541.25"
18-02-2016,-1245,-300,"? 13,14,996.25"
19-02-2016,787.5,-300,"? 13,15,483.75"
22-02-2016,-371.25,-300,"? 13,14,812.50"
23-02-2016,5403.75,-300,"? 13,19,916.25"
24-02-2016,-307.5,-300,"? 13,19,308.75"
25-02-2016,453.75,-300,"? 13,19,462.50"
26-02-2016,-2970,-300,"? 13,16,192.50"
29-02-2016,-2238.75,-300,"? 13,13,653.75"
01-03-2016,6127.5,-300,"? 13,19,481.25"
02-03-2016,1031.25,-300,"? 13,20,212.50"
03-03-2016,2433.75,-300,"? 13,22,346.25"
04-03-2016,1113.75,-300,"? 13,23,160.00"
08-03-2016,-165,-300,"? 13,22,695.00"
09-03-2016,5962.5,-300,"? 13,28,357.50"
10-03-2016,-225,-300,"? 13,27,832.50"
11-03-2016,-2512.5,-300,"? 13,25,020.00"
14-03-2016,1717.5,-300,"? 13,26,437.50"
15-03-2016,2047.5,-300,"? 13,28,185.00"
16-03-2016,1567.5,-300,"? 13,29,452.50"
17-03-2016,5835,-300,"? 13,34,987.50"
18-03-2016,3123.75,-300,"? 13,37,811.25"
21-03-2016,3888.75,-300,"? 13,41,400.00"
22-03-2016,-15,-300,"? 13,41,085.00"
23-03-2016,-2208.75,-300,"? 13,38,576.25"
28-03-2016,4620,-300,"? 13,42,896.25"
29-03-2016,-4350,-300,"? 13,38,246.25"
30-03-2016,5433.75,-300,"? 13,43,380.00"
31-03-2016,-3045,-300,"? 13,40,035.00"
01-04-2016,-1057.5,-300,"? 13,38,677.50"
04-04-2016,-1196.25,-300,"? 13,37,181.25"
05-04-2016,9776.25,-300,"? 13,46,657.50"
06-04-2016,-3768.75,-300,"? 13,42,588.75"
07-04-2016,-86.25,-300,"? 13,42,202.50"
08-04-2016,303.75,-300,"? 13,42,206.25"
11-04-2016,7440,-300,"? 13,49,346.25"
